TournamentDate,TournamentFile,Players,PlayerRoundRows,UniquePairMatches,AveragePR,TotalDecisions,RecordedVictories,PairQualityIssueRows,NumericIssueRows
2023-07-02,20230702.csv,12,60,35,7.684,6645.0,30,11,0
2023-10-15,20231015.csv,14,70,35,8.567,6760.0,35,0,1
2023-12-17,20231217.csv,12,60,30,8.53,6118.0,30,0,1
2024-02-04,20240204.csv,14,70,35,7.277,7403.0,35,0,0
2024-03-10,20240310.csv,14,70,35,7.845,6973.0,35,0,0
2024-05-05,20240505.csv,16,80,40,8.393,8811.0,40,0,1
2024-07-07,20240707.csv,16,80,40,8.141,8148.0,40,0,0
2024-09-29,20240929.csv,16,80,40,8.837,8855.0,40,0,1
2024-11-17,20241117.csv,12,60,30,9.056,7042.0,30,0,2
2025-02-09,20250209.csv,14,70,35,7.58,6391.0,34,1,0
2025-03-09,20250309.csv,18,90,45,7.124,9667.0,45,0,0
2025-04-27,20250427.csv,16,80,40,7.836,8022.0,40,1,1
2025-06-01,20250601.csv,12,48,24,8.806,6212.0,24,0,2
2025-07-06,20250706.csv,18,72,36,8.103,10021.0,36,0,0
2025-09-14,20250914.csv,22,88,44,8.051,11362.0,44,0,1
2025-10-04,20251004.csv,10,50,25,6.219,4937.0,25,0,0
2025-10-05,20251005.csv,14,42,21,8.334,5866.0,21,0,0
2025-12-06,20251206.csv,16,80,40,6.717,7926.0,40,5,0
